Report generated on: 07-12-2024 00:33:58
"API","","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"","petroleum and other liquids production (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-NOEC-TBPD.A","    Non-OECD","","","","","","","","45983.3","42180.3","38884","38185.2","38850.4","38058.7","40842.45768046341","41379.57044381401","43740.13170572238","45607.58569328631","46360.78390581224","45660.4058049276","45634.35276798621","45187.52657534247","46427.76502191781","47363.154789041095","48249.32857103825","50187.759652054796","51238.69995890411","50259.78729041096","52074.41988797814","52505.46884383562","52221.65797534247","55400.14002191781","59594.692721311476","62068.24450684932","62921.803884931505","63326.89274520548","65165.07512077049","63949.51196613699","64856.442280143376","65773.83619398766","67101.23628620274","66364.61392491598","66915.04585871506","68623.13189148356","69625.15066032787","69474.14565438915","69577.1769852707","67780.6683643966","62401.61882039253","63736.39817500182","66884.88996380813","66724.91484958418",""
"INTL.53-1-AFG-TBPD.A","        Afghanistan","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-ALB-TBPD.A","        Albania","","","","","","","","44","44","64","75","55","55","55","54","44","47","30","19","10","11","10","9","9","7.150391780821918","7.489890410958904","6.4602301369863016","5.716","5.624","7.106","6.781","7.58","6.985","9.072","10.082","6.03453","5.382407123287671","10.866765616438355","15.562518493150685","16.844970573770492","17.01442117808219","20.569209315068495","20.215143835616438","22.80052387978142","17.05404","16.05469","18.05546","17.313858961748632","16.15063810365884","15.059928131885036","14.044726754799408",""
"INTL.53-1-DZA-TBPD.A","        Algeria","1096.9013698630138","1008.8602739726027","982.9972602739726","1075.25956284153","1151.849315068493","1231.0520547945205","1224.1671232876713","1105.9071038251366","1002.0328767123287","986.6301369863014","961.2602739726027","1014.4403249559011","1036.0712328767124","1072","1071.3205479452056","1045","1105.5863013698631","1180.0684931506848","1170","1201.6120218579235","1310.164383561644","1286.2876712328766","1301.3698630136987","1396.7349726775956","1430.1917808219177","1431.041095890411","1376.958904109589","1435.5874316939892","1507.4794520547946","1623.835616438356","1789.890410958904","1856.9347923497269","1930.0273835616438","1917.46801369863","1942.2635205479453","1954.481","1909.8231123287671","1880.8924","1862.5645","1875.039769398907","1762.7893219178081","1721.8256","1798.1049","1698.432255737705","1632.8695246575342","1576.7869342465754","1570.104304109589","1404.306743715847","1415.129339462147","1473.0306811788857","1444.291045526906",""
"INTL.53-1-AGO-TBPD.A","        Angola","162","169","165","108","194","131","147","150","130","122","177.0054794520548","208.02459016393442","231.0000794520548","282.00029863013697","360.00018630136987","452.0081967213115","455.00031780821917","475.0005123287671","500.00022191780823","526.3200464480874","503.9397260273973","491.758904109589","639.3123287671233","691.016393442623","709.786301369863","732.8986301369863","747.8134246575343","745.3879781420765","739.2849315068493","896.6363424657534","879.0602356164384","990.2883306010929","1255.0266082191781","1425.5367863013698","1727.4487698630137","1960.2265081967214","1886.3642191780823","1918.0725479452055","1765.1344383561643","1796.580180327869","1814.1685342465753","1755.9454383561645","1828.00001369863","1796.7777540983607","1708.354530624685","1637.116441361411","1488.9323740600685","1284.139029827541","1150.4174036094382","1185.2543993969423","1174.4222027056035",""
"INTL.53-1-ATA-TBPD.A","        Antarctica","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-ATG-TBPD.A","        Antigua and Barbuda","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-ARG-TBPD.A","        Argentina","","","","","","","","508","513","507","504","498","485","471","472","492","496","521","529","597","640.0082191780822","720.551","775.5500356164383","838.7026994535519","892.9643835616438","905.3899808219178","894.8070602739726","862.8231038251366","918.6981753424658","895.3786328767123","876.6972602739726","888.3244398907104","830.3295287671233","831.1796301369862","802.6279150684932","804.5547267759563","786.1240890410959","786.8620643835617","742.298394520548","720.722118032787","704.9671287671233","713.0421054794521","705.2630424657534","705.0372633879781","686.3095116096109","704.8591448772384","723.0593229720822","656.8417081698169","708.5545345703596","787.2274929199148","819.018804024378",""
"INTL.53-1-ARM-TBPD.A","        Armenia","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-ABW-TBPD.A","        Aruba","","","","","","","","--","--","--","--","--","--","0","0","0","0","-0.0682256","0.0385766698","-0.02753029","","","","","","","","","","","","2.356","2.351","2.235","2.477","2.3643","2.4322","2.3885","2.3087","0.5505","0","0","0","0","0","0","0","0","0","0","0",""
