Report generated on: 07-12-2024 00:37:33
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"INTL.7-1-AGO-TST.A","        Angola","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-ATA-TST.A","        Antarctica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-ATG-TST.A","        Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-ARG-TST.A","        Argentina","429.90089999999685","548.95038","567.6896500000025","535.7226600000041","561.0757900000045","440.92400000000015","401.24084000000244","411.1616300000043","564.3827199999986","566.5873400000012","304.23755999999577","321.874519999997","222.6666199999997","185.18807999999964","382.5015699999999","336.20454999999424","341.71610000000084","276.67980999999963","319.66990000000436","370.3761599999953","285.4982900000002","205.029660000003","106.92398732675","99.2079","102.51483","105.82176","92.59404","115.74255","100.31021","83.77556","88.735955","93.69635","104.71945","87.08249","62.83167","37.47854","25.3531300000003","21.7155069999997","26.1386","24.2508199999996","21.851140958055","29.7025750410365","27.2143411694268"
"INTL.7-1-ARM-TST.A","        Armenia","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0661386"
"INTL.7-1-ABW-TST.A","        Aruba","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-AZE-TST.A","        Azerbaijan","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BHR-TST.A","        Bahrain","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BGD-TST.A","        Bangladesh","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.60576382","71.21473755","196.21118","333.99993","427.69628","746.26387","912.71268","777.12855","735.24077","920.42885","942.47505","1043.88757","745.16156","1126.56082","1279.78191","1017.43213","1032.1295966667","1119.94696","1159.0177255556","831.14174"
"INTL.7-1-BRB-TST.A","        Barbados","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BLR-TST.A","        Belarus","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BLZ-TST.A","        Belize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BEN-TST.A","        Benin","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BMU-TST.A","        Bermuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BTN-TST.A","        Bhutan","0.05512","0.09921","0.1433","0.18739","0.44092","0.443122","0.88185","2.01723","2.0242854","2.4343464","2.8444074","3.2544684","3.50332716","50.70626","70.54784","69.812966666667","70.54784","59.52474","67.95630919","76.38787838","84.81944757","81.030109402569","80.82218270478","73.10960844","82.66254761","94.00389449","100.81237717615","94.743397278339","92.26775624","86.58093895","96.79825034","109.02286824","108.83216861","85.69798864","90.26926821","93.87712884","129.8300718","178.57422","206.13197","203.92735","173.4","205.02966","195.54359607968"
"INTL.7-1-BOL-TST.A","        Bolivia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BIH-TST.A","        Bosnia and Herzegovina","--","--","--","--","--","--","--","--","--","--","--","--","1653.46500000002","1433.003","1543.234","1807.78839999997","1862.90390000005","6010.89643","7754.75085","7464.84332","8200.08409","8324.64512","8790.29192","7905.7813051","6216.3890602","6355.69679338","6498.79316603","6760.93460944","7452.37509159","7390.14969209","7047.44922926","7828.89111829","7683.69043585","6875.00495517","6797.86089213","6665.778801","7167.18765301","7860.99242","7741.800912119999","7228.39121114","6814.59616255","7362.593671764","14651.90452"
"INTL.7-1-BWA-TST.A","        Botswana","408.95751","419.98011","457.45865","435.41245","433.20783","481.70947","540.1319","536.82497","671.30679","730.83153","875.23414","864.21104","993.18131","981.0559","993.18131","1003.1021","802.48168","855.39256","1018.53444","792.56089","1036.1714","1008.61365","1050.50143","907.20113","1004.20441","1085.77535","1060.42222","912.71268","1003.1021","813.50478","1089.08228","868.62028","1621.49801","1649.05575999996","1887.15472000004","2298.31634999996","2069.0358699999997","2446.729163779978","2386.793262149954","2326.85625821003","2067.933559999962","2186.319449380046","2903.1444624888"
"INTL.7-1-BRA-TST.A","        Brazil","5778.30902","6271.04159","6995.25926","7426.26247","8288.26889","8501.01472","8147.17321","7588.30204","8081.03461","7353.51001","5065.11445","5718.78428","5215.02861","5065.11445","5659.25954","5730.90969","5296.59955","6224.74457","6080.34196","6239.0746","7502.32186","6232.46074","5670.28264","5121.33226","5959.08786","6894.94905","6483.78742","6575.27915","7288.47372","6293.08779","5969.00865","6068.21655","7292.88296","9473.25214","8749.03447","8850.44699","7721.68155","5312.03189","5332.46981971","5963.13444001","6149.42005333333","7346.89614999998","6834.846198016019"
"INTL.7-1-VGB-TST.A","        British Virgin Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BRN-TST.A","        Brunei","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-BGR-TST.A","        Bulgaria","33304.09203","32232.64671","35510.91665","35703.8209","37099.34536","34039.3328","38826.66513","40585.95189","37640.57957","37807.02838","34915.66925","31294.5809","33426.44844","32002.26392","31699.12867","33984.2173","34504.50762","32747.42548","33191.65641","27886.23838","29136.25792","29333.57141","28679.90158","30091.96069","29194.68035","27221.54545","28305.11618","31364.02643","31734.40259","29967.39966","32413.42555","40926.56568","36846.91637","31549.21451","34467.02908","39527.73429","34426.24361","37784.25686","33359.1854838","30865.38988764","24579.8374888","31183.54300908","39149.6640062"
"INTL.7-1-BFA-TST.A","        Burkina Faso","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-MMR-TST.A","        Burma","41.8878299999995","61.7294400000002","73.8548599999996","78.2641099999999","95.9010900000001","94.7987799999996","108.0265099999975","81.5710400000002","71.6502399999997","71.6502399999997","76.0594800000005","82.6733499999997","80.4687299999998","87.069493596838","78.63223798419","84.864873596838","78.63223798419","72.323364940711","76.50386472332","149.42838666996","560.104243339921","659.630206699605","536.82497","437.83597106719","333.99993","299.82832","510.36953","439.82169","354.94382","338.40917","656.756298","659.250645","739.609044","669.322632","642.205806","522.384709","606.2705","812.34404757","1438.99846409","2327.04806015","2253.04006906","1741.72145015","1397.72908"
"INTL.7-1-BDI-TST.A","        Burundi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-CPV-TST.A","        Cabo Verde","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-KHM-TST.A","        Cambodia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","124.56103"
"INTL.7-1-CMR-TST.A","        Cameroon","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-CYM-TST.A","        Cayman Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-CAF-TST.A","        Central African Republic","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-TCD-TST.A","        Chad","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-CHN-TST.A","        China","683587.3665","685229.81042","734492.10508","787634.53572","869977.19428","961524.15269","985510.44787","1023044.14966","1080121.83186","1162001.51965","1189724.65034","1195214.16091","1228581.12576","1269179.25313","1355313.86277","1424395.71567","1504609.81099","1460849.15233","1436117.69467","1415748.08305","1525800.416195","1622078.376215","1709021.754693","2022627.185997","2339775.110948","2607124.08726","2832640.399072","3042255.778903","3200453.026936","3434086.088202","3779211.743263","4149574.565312","4348754.155911","4380934.883819996","4270259.652889996","4129848.50740002","3759538.48599998","3884055.42359995","4076055.77940001","4239848.02229998","4300747.45310101","4548131.06","4766784.48243352"
"INTL.7-1-COM-TST.A","        Comoros","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-COG-TST.A","        Congo-Brazzaville","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-COD-TST.A","        Congo-Kinshasa","152.12","154.32","135.58","124.56","133.38","119.82","131.18","134.48","135.58413","137.78875","138.89106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-COK-TST.A","        Cook Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-CIV-TST.A","        Cote d'Ivoire","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-HRV-TST.A","        Croatia","--","--","--","--","--","--","--","--","--","--","--","--","132.2772","127.86796","113.53793","90.38942","72.75246","54.01319","56.21781","16.53465","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-CUB-TST.A","        Cuba","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.7-1-CYP-TST.A","        Cyprus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
